001, Acc: 99.94%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [31500/357188] Loss: 0.000003, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [31800/357188] Loss: 0.000027, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [32100/357188] Loss: 0.000018, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [32400/357188] Loss: 0.000331, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [32700/357188] Loss: 0.000304, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [33000/357188] Loss: 0.040703, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [33300/357188] Loss: 0.000064, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [33600/357188] Loss: 0.000013, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [33900/357188] Loss: 0.000054, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [34200/357188] Loss: 0.000009, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [34500/357188] Loss: 0.000048, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [34800/357188] Loss: 0.000008, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [35100/357188] Loss: 0.000009, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [35400/357188] Loss: 0.000003, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [35700/357188] Loss: 0.000278, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [36000/357188] Loss: 0.000005, Acc: 99.91%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [36300/357188] Loss: 0.000021, Acc: 99.91%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [36600/357188] Loss: 0.000127, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [36900/357188] Loss: 0.003902, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [37200/357188] Loss: 0.000004, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [37500/357188] Loss: 0.000001, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [37800/357188] Loss: 0.000001, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [38100/357188] Loss: 0.000007, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [38400/357188] Loss: 0.000007, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [38700/357188] Loss: 0.000005, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [39000/357188] Loss: 0.000001, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [39300/357188] Loss: 0.030134, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [39600/357188] Loss: 0.000001, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [39900/357188] Loss: 0.000006, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [40200/357188] Loss: 0.000001, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [40500/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:13 INFO     Train Epoch: 2 [40800/357188] Loss: 0.000003, Acc: 99.92%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [41100/357188] Loss: 0.000029, Acc: 99.92%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [41400/357188] Loss: 0.000001, Acc: 99.93%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [41700/357188] Loss: 0.000001, Acc: 99.93%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [42000/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [42300/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [42600/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [42900/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [43200/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [43500/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:14 INFO     Train Epoch: 2 [43800/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [44100/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [44400/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [44700/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [45000/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [45300/357188] Loss: 0.000000, Acc: 99.92%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [45600/357188] Loss: 0.000000, Acc: 99.93%
